,French,English
0,chercher,search
1,seulement,only
2,police,police
3,genre,kind
4,mois,month
5,laisser,let
6,mettre,to put
7,aucun,no
8,ville,city
9,parlé,speak
10,bébé,baby
11,longtemps,long time
12,heures,hours
13,vont,will
14,parle,speak
15,savais,knew
16,voici,here is
17,donner,give
18,type,type
19,leurs,their
20,corps,body
21,façon,way
22,écoute,listen
23,premier,first
24,perdu,lost
25,côté,side
26,pouvoir,power
27,sois,be
28,tiens,here
29,tellement,so much
30,enfant,child
31,suite,after
32,pardon,sorry
33,venez,come
34,vers,towards
35,demandé,request
36,chambre,bedroom
37,mis,placed
38,belle,beautiful
39,mari,husband
40,eau,water
41,boulot,job
42,dirait,would say
43,terre,Earth
44,donne,given
